"subject","condition","phase","trial","selected_difficulty_1","selected_difficulty_2","selected_difficulty_3","selected_difficulty_4","rt_1","rt_2","rt_3","rt_4","avgD","minD","maxD"
24576,"fixed","untimed",0,1,2,3,4,3575.575,6369.525,2198.335,1750.77,0,0,0
24576,"fixed","untimed",1,1,2,3,4,3103.4,2574.065,1291.32,1428.05,0,0,0
24576,"fixed","untimed",2,1,2,3,4,1735.575,2071.7,1407.825,1720.315,0,0,0
24576,"fixed","untimed",3,1,2,3,4,1168.195,1443.86,1249.74,1281.525,0,0,0
24576,"fixed","untimed",4,1,2,3,4,1726.465,1758.91,1246.245,1818.045,0,0,0
24576,"fixed","untimed",5,1,2,3,4,1130.685,1360.67,1738.37,1257.01,0,0,0
24576,"fixed","untimed",6,1,2,3,4,923.96,1230.64,1105.255,1191.44,0,0,0
24576,"fixed","untimed",7,1,2,3,4,1264.685,1297.23,1185.625,1237.175,0,0,0
24576,"fixed","untimed",8,1,2,3,4,944.83,1125.485,1141.6,1300.495,0,0,0
24576,"fixed","untimed",9,1,2,3,4,683.45,1096.94,1072.005,1139.045,0,0,0
24576,"fixed","deadline",0,1,2,3,NA,1032.215,1391.965,1564.935,NA,0,0,0
24576,"fixed","deadline",1,1,2,3,NA,584.415,1508.97,1862.98,NA,0,0,0
24576,"fixed","deadline",2,1,2,3,4,450.6,1205.07,1470.63,1288.805,0,0,0
24576,"fixed","deadline",3,1,4,2,NA,830.26,1309.705,1415.79,NA,2,2,2
24576,"fixed","deadline",4,1,4,3,2,687.185,921.53,979.815,838.545,3,3,3
24576,"fixed","deadline",5,1,2,3,4,835.41,618.735,683.055,670.785,0,0,0
24576,"fixed","deadline",6,1,2,3,4,1162.4,720.58,585.845,765.02,0,0,0
24576,"fixed","deadline",7,1,2,3,4,693.16,805.185,616.605,727.155,0,0,0
24576,"fixed","deadline",8,1,2,3,NA,736.46,1477.025,813.795,NA,0,0,0
24576,"fixed","deadline",9,1,2,3,4,633.445,795.595,576.435,703.645,0,0,0
24576,"fixed","deadline",10,2,1,3,4,1063.485,714.41,647.695,804.43,1,1,1
24576,"fixed","deadline",11,2,3,4,1,1026.395,565.36,489.365,637.55,3,3,3
24576,"fixed","deadline",12,2,3,4,1,602.365,699.05,617.82,587.365,3,3,3
24576,"fixed","deadline",13,1,2,3,4,671.935,1166,1415.585,1244.64,0,0,0
24576,"fixed","deadline",14,4,1,2,3,600.725,1359.84,1257.265,1354.985,3,3,3
24576,"fixed","deadline",15,1,4,3,2,1208.77,1175.115,1141.415,1361.475,3,3,3
24576,"fixed","deadline",16,1,4,3,2,633.105,1143.2,1285.785,1317.97,3,3,3
24576,"fixed","deadline",17,1,2,3,4,727.165,1183.52,1121.185,1504.085,0,0,0
24576,"fixed","deadline",18,4,3,2,1,858.57,1286.415,1105.07,1212.55,6,6,6
24576,"fixed","deadline",19,3,4,1,2,626.27,1218.24,1114.275,1387.585,4,4,4
24576,"fixed","deadline",20,2,3,4,1,468.275,1147.24,1197.255,1260.25,3,3,3
24576,"fixed","deadline",21,1,2,3,4,392.395,1420.005,1234.69,1428.565,0,0,0
24576,"fixed","deadline",22,4,1,2,3,382.4,1205.495,1246.345,1276.145,3,3,3
24576,"fixed","deadline",23,4,3,2,1,446.26,1171.115,1151.35,1410.13,6,6,6
24576,"fixed","deadline",24,1,2,3,4,398.78,1276.335,1402.57,1225.07,0,0,0
24576,"fixed","deadline",25,1,2,3,4,460.12,1068.465,1159.795,1310.175,0,0,0
24576,"fixed","deadline",26,1,2,3,4,479.8349999,1112.33,1182.09,1164.335,0,0,0
24576,"fixed","deadline",27,1,2,3,4,423.21,1102.065,1375.985,1122.42,0,0,0
24576,"fixed","deadline",28,1,2,3,NA,530.505,1123.835,2130.66,NA,0,0,0
24576,"fixed","deadline",29,1,2,3,NA,422.06,1212.68,1186.605,NA,0,0,0
24611,"fixed","untimed",0,1,2,3,4,3978.93,2168.14,1537.76,1153.455,0,0,0
24611,"fixed","untimed",1,1,3,2,4,995.62,774.27,1681.825,739.355,1,1,1
24611,"fixed","untimed",2,1,2,4,3,616.285,719.335,906.285,635.535,1,1,1
24611,"fixed","untimed",3,1,2,4,3,561.635,587.09,660.515,860.595,1,1,1
24611,"fixed","untimed",4,1,2,3,4,564.385,541.945,895.77,609.615,0,0,0
24611,"fixed","untimed",5,4,3,2,1,965.245,1062.955,609.185,756.145,6,6,6
24611,"fixed","untimed",6,1,2,4,3,769.74,681.36,696.565,619.005,1,1,1
24611,"fixed","untimed",7,1,2,4,3,1055.7,554.58,572.34,637.415,1,1,1
24611,"fixed","untimed",8,1,2,4,3,628.38,454.11,487.755,528.075,1,1,1
24611,"fixed","untimed",9,1,2,4,3,470.995,508.715,499.675,497.65,1,1,1
24611,"fixed","deadline",0,1,2,3,4,1110.995,737.535,898.07,490.825,0,0,0
24611,"fixed","deadline",1,1,2,4,NA,530.69,472.11,486.56,NA,1,1,1
24611,"fixed","deadline",2,1,2,3,4,932.875,480.56,1108.825,479.925,0,0,0
24611,"fixed","deadline",3,1,2,3,4,555.005,488.735,527.86,521.27,0,0,0
24611,"fixed","deadline",4,1,2,3,4,543.725,474.685,505.575,489.4,0,0,0
24611,"fixed","deadline",5,1,2,3,NA,682.205,978.555,577.14,NA,0,0,0
24611,"fixed","deadline",6,1,2,3,4,497.125,478.07,603.45,528.255,0,0,0
24611,"fixed","deadline",7,1,2,3,4,409.12,489.565,603.115,971.13,0,0,0
24611,"fixed","deadline",8,1,2,3,4,579.505,464.96,646.03,523.7,0,0,0
24611,"fixed","deadline",9,1,2,3,4,661.015,567.595,577.76,1086.925,0,0,0
24611,"fixed","deadline",10,1,3,2,4,563.5,726.72,579.855,535.555,1,1,1
24611,"fixed","deadline",11,1,2,3,4,803.785,673.97,502.95,425.815,0,0,0
24611,"fixed","deadline",12,1,2,3,4,427,590.625,510.77,487.21,0,0,0
24611,"fixed","deadline",13,1,2,3,4,457.905,493.41,477.12,445.765,0,0,0
24611,"fixed","deadline",14,1,2,3,4,537.935,469.82,514.085,567.425,0,0,0
24611,"fixed","deadline",15,1,2,3,4,522.005,439.945,495.655,440.21,0,0,0
24611,"fixed","deadline",16,1,2,3,4,471.515,462.525,813.085,396.095,0,0,0
24611,"fixed","deadline",17,1,2,3,4,410.01,547.585,471.385,777.585,0,0,0
24611,"fixed","deadline",18,1,2,3,4,745.675,456.07,448.085,466.865,0,0,0
24611,"fixed","deadline",19,1,2,3,4,539.09,439.055,533.095,438.825,0,0,0
24611,"fixed","deadline",20,1,2,3,4,392.605,428.775,523.36,593.435,0,0,0
24611,"fixed","deadline",21,1,2,3,4,626.01,436.56,460.54,443.915,0,0,0
24611,"fixed","deadline",22,1,3,2,4,575.765,527.12,528.18,837.345,1,1,1
24611,"fixed","deadline",23,1,2,3,4,657.78,430.34,493.595,445.26,0,0,0
