"subject","condition","phase","trial","selected_difficulty_1","selected_difficulty_2","selected_difficulty_3","selected_difficulty_4","rt_1","rt_2","rt_3","rt_4","avgD","minD","maxD"
27082,"fixed","untimed",0,4,2,1,3,4782,1398,1800,1042,4,4,4
27082,"fixed","untimed",1,4,2,3,1,967,922,964,856,5,5,5
27082,"fixed","untimed",2,4,2,3,1,1044,836,700,772,5,5,5
27082,"fixed","untimed",3,4,2,3,1,787,828,779,881,5,5,5
27082,"fixed","untimed",4,4,2,3,1,666,762,790,934,5,5,5
27082,"fixed","untimed",5,3,2,4,1,1566,803,828,4897,4,4,4
27082,"fixed","untimed",6,4,2,3,1,867,872,808,594,5,5,5
27082,"fixed","untimed",7,4,2,3,1,724,794,590,889,5,5,5
27082,"fixed","untimed",8,4,2,3,1,948,792,730,728,5,5,5
27082,"fixed","untimed",9,1,4,2,3,773,825,771,711,2,2,2
27082,"fixed","deadline",0,1,4,2,NA,1517,782,816,NA,2,2,2
27082,"fixed","deadline",1,3,1,4,2,564,665,497,303,3,3,3
27082,"fixed","deadline",2,4,2,NA,NA,532,603,NA,NA,4.5,4,5
27082,"fixed","deadline",3,4,1,3,NA,704,650,738,NA,4,4,4
27082,"fixed","deadline",4,4,2,3,NA,778,653,1121,NA,5,5,5
27082,"fixed","deadline",5,4,1,NA,NA,596,1041,NA,NA,3.5,3,4
27082,"fixed","deadline",6,4,NA,NA,NA,1027,NA,NA,NA,4.5,3,6
27082,"fixed","deadline",7,1,2,3,4,817,841,674,684,0,0,0
27082,"fixed","deadline",8,4,1,3,2,986,475,664,424,4,4,4
27082,"fixed","deadline",9,4,3,2,1,607,587,782,982,6,6,6
27082,"fixed","deadline",10,4,2,3,1,1026,764,630,711,5,5,5
27082,"fixed","deadline",11,4,2,3,1,582,580,324,426,5,5,5
27082,"fixed","deadline",12,4,2,3,1,675,693,356,520,5,5,5
27082,"fixed","deadline",13,4,2,3,1,552,615,364,472,5,5,5
27082,"fixed","deadline",14,4,2,3,1,558,499,613,507,5,5,5
27082,"fixed","deadline",15,4,1,2,3,613,493,864,358,3,3,3
27082,"fixed","deadline",16,4,NA,NA,NA,488,NA,NA,NA,4.5,3,6
27082,"fixed","deadline",17,4,2,3,NA,994,830,699,NA,5,5,5
27082,"fixed","deadline",18,4,1,3,NA,770,554,755,NA,4,4,4
27082,"fixed","deadline",19,4,1,NA,NA,687,684,NA,NA,3.5,3,4
27082,"fixed","deadline",20,1,4,NA,NA,1287,890,NA,NA,2.5,2,3
27082,"fixed","deadline",21,1,2,NA,NA,962,786,NA,NA,0.5,0,1
27082,"fixed","deadline",22,4,2,NA,NA,1116,723,NA,NA,4.5,4,5
27082,"fixed","deadline",23,4,1,3,NA,945,1047,777,NA,4,4,4
27082,"fixed","deadline",24,1,2,NA,NA,1032,906,NA,NA,0.5,0,1
27082,"fixed","deadline",25,4,1,2,3,495,605,769,513,3,3,3
27082,"fixed","deadline",26,4,1,2,3,423,673,579,615,3,3,3
27082,"fixed","deadline",27,4,1,3,2,534,758,918,730,4,4,4
27082,"fixed","deadline",28,NA,NA,NA,NA,NA,NA,NA,NA,3,0,6
27082,"fixed","deadline",29,4,2,NA,NA,1174,781,NA,NA,4.5,4,5
27088,"fixed","untimed",0,4,1,2,3,3362,4013,1184,1011,3,3,3
27088,"fixed","untimed",1,4,1,2,3,1952,2067,898,1496,3,3,3
27088,"fixed","untimed",2,4,3,1,2,1035,1207,1097,937,5,5,5
27088,"fixed","untimed",3,4,3,1,2,1144,1224,1414,1130,5,5,5
27088,"fixed","untimed",4,4,3,1,2,843,916,1106,1317,5,5,5
27088,"fixed","untimed",5,4,3,1,2,721,1193,1132,2110,5,5,5
27088,"fixed","untimed",6,4,3,1,2,1148,1412,1685,1518,5,5,5
27088,"fixed","untimed",7,4,3,1,2,710,1218,1240,1053,5,5,5
27088,"fixed","untimed",8,4,3,1,2,813,1207,1819,1182,5,5,5
27088,"fixed","untimed",9,4,3,1,2,966,1315,1117,995,5,5,5
27088,"fixed","deadline",0,4,3,NA,NA,1540,1021,NA,NA,5.5,5,6
27088,"fixed","deadline",1,4,3,NA,NA,991,1215,NA,NA,5.5,5,6
27088,"fixed","deadline",2,4,3,1,2,611,845,1018,846,5,5,5
27088,"fixed","deadline",3,4,3,1,2,759,832,904,562,5,5,5
27088,"fixed","deadline",4,4,3,1,2,676,793,997,997,5,5,5
27088,"fixed","deadline",5,4,3,1,2,559,795,1315,950,5,5,5
27088,"fixed","deadline",6,4,3,1,2,1020,1015,995,789,5,5,5
27088,"fixed","deadline",7,4,3,NA,NA,619,1008,NA,NA,5.5,5,6
27088,"fixed","deadline",8,4,3,1,NA,611,1026,648,NA,5,5,5
27088,"fixed","deadline",9,4,3,1,2,555,1398,995,691,5,5,5
27088,"fixed","deadline",10,4,3,1,2,640,901,1047,712,5,5,5
27088,"fixed","deadline",11,4,2,1,3,575,1090,1140,746,4,4,4
27088,"fixed","deadline",12,4,2,1,3,546,1021,751,527,4,4,4
27088,"fixed","deadline",13,4,2,NA,NA,745,2777,NA,NA,4.5,4,5
27088,"fixed","deadline",14,4,2,1,3,505,1013,880,1096,4,4,4
27088,"fixed","deadline",15,4,2,1,NA,1208,1295,662,NA,4,4,4
27088,"fixed","deadline",16,4,2,1,NA,765,736,813,NA,4,4,4
27088,"fixed","deadline",17,4,2,1,NA,671,1010,1245,NA,4,4,4
27088,"fixed","deadline",18,4,2,1,3,1125,843,895,973,4,4,4
27088,"fixed","deadline",19,1,NA,NA,NA,5931,NA,NA,NA,1.5,0,3
27088,"fixed","deadline",20,1,2,4,NA,1175,1237,766,NA,1,1,1
27088,"fixed","deadline",21,4,1,2,NA,1200,1250,856,NA,3,3,3
27088,"fixed","deadline",22,4,2,1,NA,978,562,813,NA,4,4,4
27088,"fixed","deadline",23,4,2,1,3,1098,999,834,742,4,4,4
27088,"fixed","deadline",24,4,2,1,3,888,877,851,872,4,4,4
27088,"fixed","deadline",25,4,2,1,3,1006,880,835,711,4,4,4
27088,"fixed","deadline",26,4,2,1,3,503,795,781,712,4,4,4
27088,"fixed","deadline",27,4,2,1,3,656,792,770,799,4,4,4
27088,"fixed","deadline",28,4,2,1,3,879,910,735,775,4,4,4
27088,"fixed","deadline",29,4,2,1,3,728,794,734,712,4,4,4
27091,"fixed","untimed",0,1,3,4,NA,4900.725,2557.435,1958.085,NA,2,2,2
27091,"fixed","untimed",1,4,2,1,3,1382.12,1577.92,2778.48,1898.48,4,4,4
27091,"fixed","untimed",2,1,2,4,3,1453.04,2378.33,2605.145,1613.45,1,1,1
27091,"fixed","untimed",3,1,2,4,3,1234.725,1246.31,1895.645,3547.285,1,1,1
27091,"fixed","untimed",4,1,3,4,2,1377.41,1677.95,2863.63,9305.67,2,2,2
27091,"fixed","untimed",5,1,3,4,2,1822.785,1328,1642.39,1411.395,2,2,2
27091,"fixed","untimed",6,1,3,4,2,2614.535,1746.315,1780.09,1256.65,2,2,2
27091,"fixed","untimed",7,2,1,3,4,1296.445,1702.225,1802.915,2280.21,1,1,1
27091,"fixed","untimed",8,4,2,1,3,2530.97,1412.245,2203.285,2495.61,4,4,4
27091,"fixed","untimed",9,1,2,4,3,1991.62,1562.83,1350.1,1536.125,1,1,1
27091,"fixed","deadline",0,1,3,NA,NA,1335.73,754.815,NA,NA,1.5,1,2
27091,"fixed","deadline",1,1,3,4,NA,1183.56,1589.81,954.485,NA,2,2,2
27091,"fixed","deadline",2,1,3,NA,NA,1161.185,1740.045,NA,NA,1.5,1,2
27091,"fixed","deadline",3,1,3,4,NA,1429.89,852.365,532.73,NA,2,2,2
27091,"fixed","deadline",4,1,3,4,2,819.24,738.915,482.335,1138.765,2,2,2
27091,"fixed","deadline",5,1,3,2,NA,699.6,878.955,877.55,NA,1,1,1
27091,"fixed","deadline",6,1,3,NA,NA,665.935,1098.29,NA,NA,1.5,1,2
27091,"fixed","deadline",7,1,2,4,NA,1764.895,966.965,668.03,NA,1,1,1
27091,"fixed","deadline",8,1,2,3,4,844.88,617.215,787.745,1260.235,0,0,0
27091,"fixed","deadline",9,1,2,3,4,575.065,510.9,583.815,843.225,0,0,0
27091,"fixed","deadline",10,1,2,3,NA,700.98,623.67,497.09,NA,0,0,0
27091,"fixed","deadline",11,2,1,3,NA,708.74,579.605,614.015,NA,1,1,1
27091,"fixed","deadline",12,1,2,3,4,1493.885,637.505,474.3,1230.535,0,0,0
27091,"fixed","deadline",13,1,2,4,3,562.865,530.65,1327.775,1070.34,1,1,1
27091,"fixed","deadline",14,1,2,4,3,631.7,698.35,710.7,831.305,1,1,1
27091,"fixed","deadline",15,1,2,4,3,1001.705,612.365,582.83,895.505,1,1,1
27091,"fixed","deadline",16,1,2,4,NA,774.405,530.64,509.825,NA,1,1,1
27091,"fixed","deadline",17,1,2,4,3,947.685,528.305,666.745,1140.605,1,1,1
27091,"fixed","deadline",18,1,2,4,NA,808.385,544.89,910.65,NA,1,1,1
27091,"fixed","deadline",19,1,2,4,NA,605.565,580.045,825.79,NA,1,1,1
27091,"fixed","deadline",20,1,2,4,NA,530.345,457.9,568.985,NA,1,1,1
27091,"fixed","deadline",21,1,2,4,3,501.29,500.035,623.065,850.815,1,1,1
27091,"fixed","deadline",22,1,2,4,3,530.83,680.555,738.32,753.45,1,1,1
27091,"fixed","deadline",23,1,2,4,3,529.445,495.95,367.505,772.51,1,1,1
27091,"fixed","deadline",24,1,2,4,3,539.375,766.745,546.745,861.21,1,1,1
27091,"fixed","deadline",25,2,1,4,NA,597.15,518.27,586.06,NA,2,2,2
27091,"fixed","deadline",26,1,2,4,NA,804.935,363.99,695.74,NA,1,1,1
27091,"fixed","deadline",27,1,2,4,NA,631.175,559.85,613.585,NA,1,1,1
27091,"fixed","deadline",28,1,2,4,3,493.985,773.17,644.86,1038.105,1,1,1
27091,"fixed","deadline",29,1,2,4,NA,554.12,543.295,522.245,NA,1,1,1
27094,"fixed","untimed",0,2,3,4,1,3405.615,3528.68,5431.425,3858.47,3,3,3
