Question,DA,SA,SD,DD
WithOthers,0,0,1,1
SameWay,1,1,0,0
EaseOfImagination,0,0,1,1
StronglyAbsorbed,1,1,0,0
NoticeSounds,1,1,0,0
NumberPlates,1,1,0,0
Impolite,1,1,0,0
ImagineCharacters,0,0,1,1
FascinatedDates,1,1,0,0
TrackConversations,0,0,1,1
SocialEasy,0,0,1,1
NoticeDetails,1,1,0,0
LibraryVsParty,1,1,0,0
MakingUpStories,0,0,1,1
PeopleVsThings,0,0,1,1
StrongInterests,1,1,0,0
Chit-Chat,0,0,1,1
Talkative,1,1,0,0
Numbers,1,1,0,0
Intentions,1,1,0,0
DoNotEnjoyFiction,1,1,0,0
MakeNewFriends,1,1,0,0
NoticePatterns,1,1,0,0
TheatreVsMuseum,0,0,1,1
Routine,0,0,1,1
Conversation,1,1,0,0
ReadBtwLines,0,0,1,1
WholePicture,0,0,1,1
PhoneNumbers,0,0,1,1
DoNotNoticeChanges,0,0,1,1
Bored,0,0,1,1
Multitask,0,0,1,1
TurnTaking,1,1,0,0
Spontaneous,0,0,1,1
GetJokes,1,1,0,0
InferEmotion,0,0,1,1
Interruption,0,0,1,1
GoodAtChitChat,0,0,1,1
Rambling,1,1,0,0
Pretending,0,0,1,1
CollectInfo,1,1,0,0
DifficultImagination,1,1,0,0
PlanCarefully,1,1,0,0
SocialOccasions,0,0,1,1
DifficultyIntentions,1,1,0,0
NewSituationAnxiety,1,1,0,0
EnjoyMeetingPeople,0,0,1,1
Diplomat,0,0,1,1
RembmeringDOB,0,0,1,1
PretendGames,0,0,1,1
