Column,Type,Null,Default,Comments
experiment,character,Yes,NULL,experiment name
condition,character,Yes,NULL,condition name
subject,integer,Yes,NULL,subject id number
uniqueid,integer,Yes,NULL,SONA generated id
trial_number,integer,Yes,NULL,Trial Number
trial_index,integer,Yes,NULL,trial number
trial_event,factor,Yes,NULL,"event: practice_select_rdk - practice, select_rdk - task selection, rdk - random dot task"
button_pressed,integer,Yes,NULL,which rdk selected
selected_difficulty,numeric,Yes,NULL,"Difficulty of selected rdk: 0 = easy, 1 = med, ..."
rt,numeric,Yes,NULL,response time
dot_direction,numeric,Yes,NULL,direction of rdk
dot_coherence,numeric,Yes,NULL,difficulty
key_press,integer,Yes,NULL,response
trial_duration,numeric,Yes,NULL,time remaining for choice
correct,numeric,Yes,NULL,"1 = correct, 0 = wrong"
time_elapsed,numeric,Yes,NULL,total time elapsed
patch_0,numeric,Yes,NULL,Coherence of patch 1 (west)
patch_1,numeric,Yes,NULL,Coherence of patch 2 (north)
patch_2,numeric,Yes,NULL,Coherence of patch 3 (east)
patch_3,numeric,Yes,NULL,Coherence of patch 4 (south)
score,numeric,Yes,NULL,wordle guess score
stimulus_string,character,Yes,NULL,wordle clues
target_string,character,Yes,NULL,wordle target
responses,character,Yes,NULL,Demographic information free text; wordle responses
browser_window_height,numeric,Yes,NULL,height of display in pixels
browser_window_width,numeric,Yes,NULL,width of display in pixels
start_date,character,Yes,NULL,date and time of initial start
